time	V(n003)
Step Information: Temp=-10  (Step: 1/5)
0.000000000000000e+00	4.287848e-11
9.999999439624929e-11	-1.940296e-08
1.999999887924986e-10	-1.712460e-07
3.999999775849972e-10	-7.731671e-07
1.599999910339989e-09	-1.749029e-05
3.199999820679977e-09	-6.943631e-05
6.399999641359955e-09	-2.536192e-04
1.279999928271991e-08	-8.284457e-04
2.559999856543982e-08	-2.347782e-03
5.119999713087964e-08	-5.733694e-03
4.095999770470371e-07	-5.376057e-02
8.191999540940742e-07	-1.090570e-01
1.638399908188148e-06	-2.208745e-01
3.276799816376297e-06	-4.482920e-01
6.553599632752594e-06	-9.088212e-01
1.310719926550519e-05	-1.764381e+00
1.994484710550887e-05	-2.370900e+00
2.456795594726461e-05	-2.516290e+00
2.633938389238708e-05	-2.507171e+00
2.867995061050372e-05	-2.439776e+00
3.247158453838170e-05	-2.205374e+00
3.849557431262379e-05	-1.573877e+00
4.676819521101847e-05	-4.442776e-01
5.495197398677260e-05	6.155314e-01
6.495197398677260e-05	1.490258e+00
7.235421231249693e-05	1.765937e+00
7.550896341190235e-05	1.785770e+00
7.732870005137664e-05	1.770847e+00
8.028665032836426e-05	1.705199e+00
8.504760243231829e-05	1.491151e+00
9.244962591418137e-05	8.968754e-01
1.024496259141814e-04	-3.328893e-01
1.124496259141814e-04	-1.686985e+00
1.210430388869367e-04	-2.426926e+00
1.250037361455003e-04	-2.517410e+00
1.265060836349301e-04	-2.504277e+00
1.289509721956162e-04	-2.428004e+00
1.329080220348734e-04	-2.169202e+00
1.391748355663300e-04	-1.488106e+00
1.472980371669752e-04	-3.702430e-01
1.556914477720033e-04	6.985933e-01
1.656914477720033e-04	1.532336e+00
1.727123876215615e-04	1.771111e+00
1.756447927724166e-04	1.785362e+00
1.775498172010621e-04	1.767700e+00
1.806450698400551e-04	1.693827e+00
1.856180684853044e-04	1.456576e+00
1.933055871797562e-04	8.085960e-01
2.033055871797562e-04	-4.522556e-01
2.133055871797562e-04	-1.787076e+00
2.215098386262181e-04	-2.446801e+00
2.251852377101343e-04	-2.517164e+00
2.268016233683125e-04	-2.498647e+00
2.294312006871532e-04	-2.405297e+00
2.336795743467891e-04	-2.101162e+00
2.403667798554073e-04	-1.332690e+00
2.483231493072172e-04	-2.283103e-01
2.570804694767860e-04	8.473374e-01
2.670804694767859e-04	1.602584e+00
2.733536383580613e-04	1.778553e+00
2.758862340099732e-04	1.784287e+00
2.779427835435029e-04	1.761453e+00
2.812812712730164e-04	1.671714e+00
2.866262508791061e-04	1.390861e+00
2.947986639774176e-04	6.456141e-01
3.047986639774176e-04	-6.620336e-01
3.147986639774177e-04	-1.950224e+00
3.222783866605244e-04	-2.474217e+00
3.254801046611605e-04	-2.516026e+00
3.272817175680041e-04	-2.487338e+00
3.302104569961805e-04	-2.363009e+00
3.349261151442359e-04	-1.980558e+00
3.422663472877496e-04	-1.075179e+00
3.501056848852359e-04	1.315384e-02
3.594695785624589e-04	1.079392e+00
3.692511130496863e-04	1.689652e+00
3.742852072762923e-04	1.785027e+00
3.762341738222127e-04	1.782369e+00
3.785088511661118e-04	1.750811e+00
3.821957106587837e-04	1.635334e+00
3.880644442041511e-04	1.286810e+00
3.968817889739890e-04	4.006386e-01
4.068817889739890e-04	-9.545125e-01
4.168817889739890e-04	-2.149342e+00
4.232642791922681e-04	-2.499670e+00
4.258527041632076e-04	-2.513117e+00
4.278882177063608e-04	-2.469356e+00
4.311929943690220e-04	-2.300641e+00
4.364867129814226e-04	-1.812863e+00
4.445935670435549e-04	-7.499601e-01
4.524341411355276e-04	3.141169e-01
4.624341411355276e-04	1.323209e+00
4.710344086463909e-04	1.740416e+00
4.750003613514245e-04	1.786602e+00
4.765005883952206e-04	1.780115e+00
4.789420395866430e-04	1.741439e+00
4.828936485692995e-04	1.604479e+00
4.891525211202496e-04	1.200199e+00
4.984183843236962e-04	2.081615e-01
5.084183843236962e-04	-1.166627e+00
5.184183843236962e-04	-2.271837e+00
5.239368738510518e-04	-2.510598e+00
5.261043590661595e-04	-2.510269e+00
5.282976916403479e-04	-2.454830e+00
5.318548983871921e-04	-2.253182e+00
5.375300223820522e-04	-1.691583e+00
5.459936210738129e-04	-5.528048e-01
5.539214404025461e-04	4.955932e-01
5.639214404025461e-04	1.426439e+00
5.718336353740800e-04	1.757148e+00
5.753100227438102e-04	1.786344e+00
5.770048034601064e-04	1.775008e+00
5.797611300429740e-04	1.720688e+00
5.842082166391679e-04	1.538623e+00
5.911764832562429e-04	1.021176e+00
